Solution_1_volume,Solution_1_concentration,Solution_2_volume,Solution_2_concentration,Solution_3_volume,Solution_3_concentration,Solution_4_volume,Solution_4_concentration,Answer
232.0,0.18,305.0,0.96,34.0,0.99,358.0,0.88,0.74
393.0,0.11,385.0,0.5,35.0,0.29,46.0,0.06,0.29
233.0,0.26,359.0,0.75,214.0,0.75,200.0,0.2,0.53
154.0,0.27,90.0,0.13,121.0,0.55,155.0,0.79,0.47
32.0,0.57,61.0,0.36,295.0,0.6,297.0,0.77,0.65
172.0,0.97,290.0,0.63,285.0,0.05,202.0,0.76,0.55
54.0,0.91,231.0,0.43,86.0,0.57,121.0,0.48,0.52
232.0,0.81,288.0,0.56,361.0,0.86,230.0,0.17,0.63
308.0,0.62,193.0,0.75,369.0,0.72,41.0,0.42,0.68
117.0,0.89,80.0,0.68,29.0,0.63,103.0,0.97,0.84
158.0,0.41,396.0,0.42,179.0,0.73,365.0,0.09,0.36
211.0,0.36,269.0,0.71,312.0,0.28,205.0,0.18,0.39
226.0,0.87,71.0,0.35,194.0,0.97,56.0,0.33,0.78
25.0,0.35,213.0,0.36,328.0,0.88,58.0,0.44,0.64
48.0,0.25,129.0,0.93,140.0,0.87,117.0,0.77,0.79
389.0,0.28,248.0,0.58,200.0,0.72,10.0,0.29,0.47
82.0,1.0,295.0,0.75,231.0,0.83,211.0,0.77,0.8
41.0,0.24,168.0,0.45,116.0,0.97,70.0,0.88,0.66
263.0,0.75,254.0,0.38,309.0,0.32,387.0,0.18,0.38
52.0,0.76,322.0,0.59,18.0,0.52,185.0,0.4,0.54
187.0,0.09,306.0,0.46,185.0,0.54,175.0,0.25,0.35
198.0,0.26,161.0,0.82,238.0,0.77,332.0,0.78,0.67
85.0,0.35,338.0,0.73,179.0,0.48,143.0,0.38,0.56
113.0,0.59,267.0,0.6,115.0,0.43,12.0,0.91,0.57
362.0,0.3,12.0,0.71,339.0,0.14,162.0,0.17,0.22
202.0,0.09,122.0,0.27,174.0,0.24,277.0,0.77,0.4
320.0,0.08,192.0,0.39,223.0,0.95,327.0,0.24,0.37
367.0,0.94,262.0,0.61,191.0,0.88,368.0,0.36,0.68
29.0,0.38,199.0,0.94,59.0,0.01,32.0,0.43,0.67
163.0,0.59,352.0,0.47,314.0,0.64,86.0,0.35,0.54
272.0,0.67,123.0,0.93,325.0,0.18,86.0,0.03,0.44
214.0,0.47,168.0,0.82,164.0,0.21,320.0,0.65,0.56
323.0,0.51,57.0,0.65,93.0,0.06,270.0,0.23,0.36
310.0,0.16,26.0,0.95,189.0,0.95,262.0,0.56,0.51
192.0,0.04,180.0,0.34,57.0,0.22,297.0,0.89,0.48
304.0,0.63,272.0,0.27,266.0,0.96,65.0,0.97,0.64
147.0,0.97,300.0,0.44,387.0,0.53,248.0,0.18,0.48
91.0,0.16,127.0,0.83,343.0,0.77,92.0,0.72,0.69
361.0,0.83,138.0,0.34,78.0,0.9,145.0,0.73,0.72
325.0,0.36,196.0,0.45,32.0,0.9,270.0,0.37,0.41
374.0,0.65,301.0,0.72,60.0,0.78,246.0,0.56,0.66
131.0,0.38,158.0,0.66,119.0,0.29,158.0,0.83,0.56
234.0,0.38,270.0,0.59,63.0,0.59,174.0,0.07,0.4
61.0,0.93,270.0,0.06,65.0,0.64,10.0,0.33,0.29
397.0,0.19,66.0,0.14,182.0,0.32,342.0,0.8,0.42
67.0,0.19,222.0,0.61,83.0,0.53,306.0,0.8,0.64
128.0,0.5,251.0,0.09,281.0,0.1,146.0,0.63,0.26
195.0,0.89,166.0,0.13,158.0,0.53,335.0,0.95,0.7
188.0,0.64,71.0,0.56,87.0,0.78,203.0,0.58,0.63
367.0,0.74,396.0,0.76,83.0,0.09,91.0,0.49,0.67
276.0,0.37,373.0,0.58,358.0,0.25,164.0,0.91,0.48
345.0,0.42,48.0,0.22,308.0,0.66,10.0,0.61,0.51
183.0,0.12,145.0,0.19,47.0,0.57,263.0,0.82,0.46
10.0,0.26,110.0,0.64,264.0,0.23,43.0,0.67,0.38
301.0,0.24,253.0,0.09,12.0,0.17,345.0,0.64,0.35
363.0,0.87,251.0,0.69,261.0,0.57,92.0,0.59,0.72
72.0,0.77,11.0,0.38,87.0,0.75,29.0,0.59,0.71
138.0,0.66,88.0,0.1,49.0,0.5,146.0,0.74,0.55
189.0,0.43,47.0,0.05,127.0,0.24,332.0,0.24,0.28
21.0,0.59,366.0,0.93,101.0,0.37,18.0,0.41,0.79
196.0,0.97,222.0,0.53,61.0,0.71,254.0,0.58,0.68
42.0,0.64,67.0,0.97,373.0,0.02,225.0,0.56,0.32
303.0,0.63,38.0,0.82,331.0,0.82,222.0,0.69,0.72
250.0,0.9,88.0,0.36,345.0,0.05,281.0,0.77,0.51
340.0,0.85,308.0,0.99,146.0,0.76,385.0,0.99,0.92
14.0,0.03,323.0,0.32,270.0,0.06,83.0,0.13,0.19
81.0,0.3,217.0,0.09,203.0,0.94,135.0,0.33,0.44
115.0,0.7,226.0,0.23,242.0,0.01,377.0,0.18,0.21
398.0,0.71,254.0,0.05,398.0,0.71,84.0,0.04,0.51
327.0,0.72,34.0,0.2,330.0,0.39,293.0,0.13,0.42
46.0,0.92,70.0,0.62,199.0,0.15,211.0,0.02,0.23
195.0,0.32,372.0,0.67,50.0,0.16,317.0,0.7,0.58
145.0,0.51,26.0,0.2,109.0,0.93,302.0,0.87,0.76
248.0,0.02,338.0,0.78,311.0,0.11,105.0,0.34,0.34
169.0,0.26,137.0,0.91,319.0,0.19,371.0,0.83,0.54
290.0,0.71,62.0,0.71,218.0,0.44,153.0,0.34,0.55
51.0,0.44,229.0,0.87,352.0,0.43,223.0,0.86,0.66
285.0,0.92,64.0,0.7,113.0,0.87,346.0,0.9,0.89
147.0,0.48,55.0,0.92,272.0,0.13,74.0,0.38,0.34
