Number1,Number2,Number3,Number4,Number5,Sequence_type
2,3,5,8,13,fibonacci
2,3,5,8,13,fibonacci
6,10.8,19.44,34.99,62.98,geometric
2,8.5,15.0,21.5,28.0,arithmetic
2,3,5,8,13,fibonacci
1,2,3,5,8,fibonacci
1,10.7,20.4,30.1,39.8,arithmetic
8,13.0,18.0,23.0,28.0,arithmetic
6,7.8,10.14,13.18,17.13,geometric
3,11.5,20.0,28.5,37.0,arithmetic
7,8.2,9.4,10.6,11.8,arithmetic
8,12.8,17.6,22.4,27.2,arithmetic
1,7.3,13.6,19.9,26.2,arithmetic
2,12.5,23.0,33.5,44.0,arithmetic
5,6.0,7.2,8.64,10.37,geometric
2,3,5,8,13,fibonacci
5,10.7,16.4,22.1,27.8,arithmetic
7,12.4,17.8,23.2,28.6,arithmetic
5,15.5,26.0,36.5,47.0,arithmetic
1,1,2,3,5,fibonacci
9,12.0,15.0,18.0,21.0,arithmetic
9,14.4,23.04,36.86,58.98,geometric
1,2,3,5,8,fibonacci
6,8.8,11.6,14.4,17.2,arithmetic
1,4.0,7.0,10.0,13.0,arithmetic
1,1.4,1.96,2.74,3.84,geometric
2,3.4,5.78,9.83,16.71,geometric
4,6.0,9.0,13.5,20.25,geometric
3,5,8,13,21,fibonacci
6,12.0,24.0,48.0,96.0,geometric
5,9.0,16.2,29.16,52.49,geometric
7,12.6,18.2,23.8,29.4,arithmetic
1,3.0,5.0,7.0,9.0,arithmetic
7,7.7,8.47,9.32,10.25,geometric
9,18.0,27.0,36.0,45.0,arithmetic
5,16,8,4,2,collatz
8,10.4,12.8,15.2,17.6,arithmetic
2,1,4,2,1,collatz
4,6.4,10.24,16.38,26.21,geometric
8,16.0,32.0,64.0,128.0,geometric
7,15.0,23.0,31.0,39.0,arithmetic
13,21,34,55,89,fibonacci
7,17.0,27.0,37.0,47.0,arithmetic
2,3.8,7.22,13.72,26.07,geometric
7,11.2,17.92,28.67,45.87,geometric
2,10.6,19.2,27.8,36.4,arithmetic
1,1.3,1.69,2.2,2.86,geometric
9,13.6,18.2,22.8,27.4,arithmetic
5,7.4,9.8,12.2,14.6,arithmetic
1,4,2,1,4,collatz
2,3.2,5.12,8.19,13.1,geometric
8,9.6,11.52,13.82,16.58,geometric
1,3.9,6.8,9.7,12.6,arithmetic
3,6.5,10.0,13.5,17.0,arithmetic
8,13,21,34,55,fibonacci
7,9.1,11.83,15.38,19.99,geometric
7,16.9,26.8,36.7,46.6,arithmetic
4,13.3,22.6,31.9,41.2,arithmetic
6,10.2,17.34,29.48,50.12,geometric
6,7.9,9.8,11.7,13.6,arithmetic
5,16,8,4,2,collatz
7,15.5,24.0,32.5,41.0,arithmetic
2,1,4,2,1,collatz
8,13,21,34,55,fibonacci
4,2,1,4,2,collatz
1,3.2,5.4,7.6,9.8,arithmetic
2,3,5,8,13,fibonacci
7,9.5,12.0,14.5,17.0,arithmetic
7,10.7,14.4,18.1,21.8,arithmetic
4,5.3,6.6,7.9,9.2,arithmetic
13,21,34,55,89,fibonacci
9,13.5,18.0,22.5,27.0,arithmetic
7,9.7,12.4,15.1,17.8,arithmetic
6,12.0,24.0,48.0,96.0,geometric
7,14.6,22.2,29.8,37.4,arithmetic
1,1.4,1.96,2.74,3.84,geometric
2,3,5,8,13,fibonacci
1,1.7,2.89,4.91,8.35,geometric
8,13,21,34,55,fibonacci
1,8.1,15.2,22.3,29.4,arithmetic
3,5.4,9.72,17.5,31.5,geometric
8,4,2,1,4,collatz
4,2,1,4,2,collatz
6,3,10,5,16,collatz
2,3,5,8,13,fibonacci
13,21,34,55,89,fibonacci
9,10.8,12.96,15.55,18.66,geometric
7,8.9,10.8,12.7,14.6,arithmetic
3,10.7,18.4,26.1,33.8,arithmetic
1,1.2,1.44,1.73,2.08,geometric
6,16.3,26.6,36.9,47.2,arithmetic
2,3,5,8,13,fibonacci
